,labels,param_set1,param_set2,param_set3
0,attack_benefit_land_passive,-1.0273320607327099,-1.1449126523352338,-1.0693428167660064
1,offer_victim_passive,-0.9461752829916877,-0.8079979788224473,-1.0567027159322453
2,attack_obj_vitality,-0.9248564642013306,-0.7479612749347938,-0.9040451224768069
3,offer_land_obj_vitality,-0.8328519686067394,-0.7172012836686836,-0.7972335237558239
4,attack_benefit_overlap,-0.7925054500844699,-0.7009236128095462,-0.768290399396398
5,offer_land_obj_cargo,-0.655520201383891,-0.6698464295978355,-0.7606874236927832
6,attack_obj_neighbor,-0.6264794748203321,-0.6473704520658388,-0.7382663302584394
7,offer_land_obj_productivity,-0.6147695833669234,-0.6401201393223,-0.6994533259962714
8,offer_land_obj_age,-0.5736496002038944,-0.6342697546327261,-0.6604985208718206
9,reproduce_victim_active,-0.5681195469160938,-0.6337546606375719,-0.6550975978067146
10,clear_obj_neighbor,-0.5343965531894741,-0.6315453718375159,-0.4931971886354851
11,offer_obj_neighbor,-0.5234289069024235,-0.6179072283467845,-0.4515457125021226
12,reproduce_victim_passive,-0.519312438558467,-0.5915377285517991,-0.4167675944488771
13,attack_benefit_passive,-0.5090297507059877,-0.5911598326579284,-0.3773885618408883
14,reproduce_obj_age,-0.45053545081977997,-0.5588270111226173,-0.34718803834853096
15,clear_obj_cargo,-0.431992191827662,-0.5434640204797174,-0.34376653033821997
16,offer_obj_cargo,-0.4051596345464835,-0.528120638337798,-0.3343671993770906
17,attack_benefit_land_overlap,-0.3767391215855188,-0.4881046045401374,-0.3325726888398966
18,offer_land_benefit_active,-0.34415775335686805,-0.4460329674961726,-0.332530514856651
19,clear_benefit_land_passive,-0.3413953732069356,-0.43597580826731286,-0.32434388842809053
20,attack_benefit_active,-0.34136215666384534,-0.40883280383680903,-0.3190702080150691
21,offer_self_neighbor,-0.3297844574898663,-0.3777260939869058,-0.27503380795965077
22,clear_self_cargo,-0.32644087434740354,-0.36610137854303115,-0.2747250600885939
23,offer_land_obj_neighbor,-0.2861936264360109,-0.3475166066806055,-0.27177407927144426
24,offer_obj_vitality,-0.26849402541549733,-0.33035394119521744,-0.2607838130505376
25,offer_land_victim_passive,-0.2505661383663218,-0.31105346494566904,-0.23436895114137557
26,offer_land_victim_overlap,-0.23190420639671938,-0.27500623484078907,-0.22554375550554617
27,offer_obj_productivity,-0.1917276764222984,-0.2626727147439101,-0.2170234040477691
28,offer_land_self_age,-0.18134234906061308,-0.23637918687639825,-0.15701586803355774
29,offer_land_benefit_land_active,-0.17165336436165504,-0.1941500313672735,-0.15153496929226745
30,attack_victim_overlap,-0.16966547071697724,-0.19409374496755838,-0.13452805753031807
31,clear_victim_passive,-0.16039152517439498,-0.19317805813685968,-0.11265512237845263
32,attack_obj_productivity,-0.14504511378168664,-0.1793641312934961,-0.10034389806301353
33,clear_obj_vitality,-0.13644957342067743,-0.17592852194287334,-0.09855321270993059
34,offer_obj_age,-0.12278481890838809,-0.1711946715109809,-0.09411024582977275
35,offer_self_age,-0.09247911778661644,-0.1641399804750276,-0.09333523162785479
36,attack_self_age,-0.08605418629890585,-0.1546586756732351,-0.0924929752432116
37,reproduce_self_age,-0.03608149762126993,-0.14988816462370794,-0.07348367225400709
38,clear_obj_age,-0.01075476374319615,-0.14593363635064638,-0.058638000046196966
39,offer_land_self_cargo,0.0004004212001387092,-0.14102006358556265,-0.033615455587457266
40,clear_self_vitality,0.012729379787755929,-0.13848716215334475,-0.031286990457689984
41,clear_victim_active,0.02005719773483683,-0.1269691437275467,-0.02520821743302487
42,offer_benefit_land_active,0.02340737627247147,-0.11575725945566973,-0.020359413043223452
43,clear_obj_productivity,0.04411909326477069,-0.11535915788604445,-0.005049679272145086
44,attack_benefit_land_active,0.050165479498613635,-0.030904811830404222,0.03855822332128275
45,reproduce_victim_overlap,0.06320675015559848,-0.013877239604195027,0.049947059924784154
46,reproduce_obj_neighbor,0.0944442661145455,-0.008392061613173907,0.06578512705942373
47,attack_victim_active,0.12964367269874977,0.06155783828478291,0.07878579202728042
48,attack_self_productivity,0.13359839240619373,0.09359179336923176,0.07961390140658667
49,offer_benefit_active,0.1563031723275744,0.12240161274552903,0.09854876221483969
50,clear_self_age,0.17538187666820165,0.1525384082449865,0.12732787587101932
51,clear_self_productivity,0.18689821157594066,0.1729662411341666,0.13943125658570937
52,attack_self_neighbor,0.2379382281984882,0.1924271055769866,0.19709399193550234
53,offer_land_benefit_overlap,0.24741344051132516,0.19988764547033402,0.20633343090542444
54,offer_land_victim_active,0.27658623570121577,0.20417204466935884,0.22228067078625965
55,attack_obj_age,0.2817892392619491,0.20665560829197552,0.2242354929824243
56,attack_self_vitality,0.29373373630705196,0.21165431197704535,0.23917565381304318
57,reproduce_obj_vitality,0.3007020537692338,0.21791564302331687,0.23995221483809742
58,attack_obj_cargo,0.30309484816759635,0.22167810483763717,0.26584543671902117
59,reproduce_self_cargo,0.3074397626184123,0.23149729207173914,0.2666299774514293
60,reproduce_benefit_passive,0.30933438520122547,0.2435385941156457,0.2760658242673688
61,offer_land_self_productivity,0.31616102533271007,0.260955292143301,0.2854558988719701
62,clear_self_neighbor,0.3212739724436349,0.2783811559356357,0.2950925608059064
63,offer_land_benefit_land_overlap,0.32689244381537463,0.31078732473600545,0.33512057610822144
64,offer_victim_active,0.3273706231779748,0.33424427154962016,0.3553454642225934
65,offer_benefit_passive,0.33237907366841934,0.35556421393345816,0.38489009755901993
66,clear_benefit_land_active,0.3559301813986765,0.3719029536337186,0.3973454123945571
67,reproduce_self_neighbor,0.3784891933004428,0.38733317003882484,0.39907268475889535
68,reproduce_benefit_land_passive,0.38386136243091884,0.40301291745056167,0.42199214304861915
69,attack_self_cargo,0.4188856264013491,0.4224005410702113,0.43133586203201424
70,offer_land_self_neighbor,0.4446707126986847,0.4269872046854293,0.44292278672504437
71,reproduce_benefit_land_active,0.45251899425942843,0.45228201020896364,0.45996806447032546
72,reproduce_self_productivity,0.4837645596495513,0.4945822678449185,0.46360801849816097
73,offer_benefit_overlap,0.4914542660667561,0.5039748410271415,0.4687313749516182
74,offer_land_self_vitality,0.4942137916999725,0.5497696283256255,0.49196406796193753
75,reproduce_obj_cargo,0.5066860087657592,0.5521569937879993,0.5157537503298311
76,offer_land_benefit_passive,0.541749846673874,0.5626103731626135,0.5196367473197602
77,offer_self_cargo,0.5530666852762096,0.5958790008396373,0.5428814135211447
78,offer_benefit_land_overlap,0.5665097648339726,0.601229733563515,0.5431769644367063
79,clear_benefit_land_overlap,0.582888075231709,0.6221048477252268,0.5444972849480867
80,clear_benefit_active,0.5915365187784255,0.6436624997560184,0.5545973725171163
81,reproduce_obj_productivity,0.5915460263517758,0.6512678850329925,0.562568838542022
82,reproduce_benefit_overlap,0.5953823081384546,0.6570417066219583,0.5665406161374283
83,reproduce_benefit_land_overlap,0.623224455331262,0.7030210101171229,0.6193008719832541
84,offer_land_benefit_land_passive,0.6491642202633765,0.7080263625177116,0.6808033946270309
85,offer_self_vitality,0.6550810308045136,0.7379227367283294,0.6991293146188161
86,offer_victim_overlap,0.7507876643324476,0.7592392907777337,0.7554239576855974
87,offer_benefit_land_passive,0.7779664068144985,0.791667217815925,0.8323628929247391
88,clear_benefit_passive,0.7794331291548057,0.8185964118512128,0.8388362971624401
89,reproduce_benefit_active,0.7961668197257664,0.9881421920762045,0.8958836358990916
90,reproduce_self_vitality,0.8133460145253485,0.9950049425617873,0.9234400687388882
91,clear_benefit_overlap,0.8274077279938213,1.0098053810953136,0.9629079459674217
92,clear_victim_overlap,0.8351644901998894,1.0829634179373986,0.9805859455633741
93,attack_victim_passive,0.8845810042454101,1.2856147608488788,1.260931054464724
94,offer_self_productivity,0.9419225099945364,1.4799124895422813,1.2738873917185565
